TrackId,Composer,Name
491,Coluber constrictor,Quo Lux
493,Kuphal Group,implementation
497,Hyaena hyaena,Lanette Geggus
498,Dickens Conroy and Torp,archive
499,Sagittarius serpentarius,Stringtough
504,Labadie-Koch,forecast
505,Lang Group,portal
509,Coluber constrictor foxii,Maggy Culross
510,Langworth-Raynor,Centralized
511,Varanus sp.,Prodder
514,Varanus sp.,Jade Handes
515,Leannon LLC,artificial intelligence
516,Leannon-Balistreri,Object-based
520,Anathana ellioti,Nyssa Seemmonds
522,Leffler-Mohr,hardware
523,Legros Group,Face to face
527,KundDicki and Hahn,infoclassicmediaries
528,Lehner-Monahan,complexity
529,Lemke-Towne,Graphical User Interface
532,Nannopterum harrisi,Shandeigh Leadbetter
533,Leuschke Inc,empowering
534,Leuschke Inc,groupware
537,Lindgren and Sons,economic
538,Odocoileus hemionus,Veribet
541,Little-Stehr,Managed
543,Fulica cristata,Treeflex
545,Lowe-Jenkins,Compatible
546,Lubowitz Inc,Inverse
547,Lubowitz-Konopelski,structure
550,Lueilwitz-Murphy,reciprocal
551,Luettgen and Sons,model
552,Luettgen LLC,ecocentric
555,Lynch Group,interface
556,Bassariscus astutus,Tresom
559,Macejkovic-Jaskolski,Upgradable
560,Macejkovic-McKenzie,motivating
561,Bassariscus astutus,Bone Swindin
564,MacGyver-Strosin,capability
565,MacGyver-White,Automated
568,Maggio-Fahey,reciprocal
569,Maggio-Franecki,realtime
570,Nasua narica,Louise Brazel
573,Mante Inc,Multitone
574,Mante-Dickens,coherent
577,Crotalus triseriatus,Voyatouch
578,Marquardt-Jakubowski,system engine
579,Crotalus triseriatus,Aubrey Chominski
582,Mayer-Crist,scalable
583,Mayer-Cronin,xlkmhog
586,McClure Group,productivity
587,Helogale undulata,Jerrine Forlong
588,McDermott and Sons,systemic
591,McGlynn Group,middleware
592,Dendrocygna viduata,Pannier
595,McKenzie-Lockman,toiurtoiwu
596,McLaughlin LLC,internet solution
597,McLaughlin-Jacobs,static
600,Mertz-Littel,conglomeration
601,Mertz-Nienow,helppop
604,Miller-Ledner,Sharable
605,Miller-Wunsch,Visionary
606,Mills-Schiller,monitoring
609,Mohr and Sons,Upgradable
610,Monahan Inc,Distributed
613,Morar-Hudson,taskforceone
614,Morar-Zulauf,leverage
615,Morissette Inc,Userdog
618,Muller and Sons,intangible
619,Muller Group,local area network
620,Muller Group,Total
622,Muller-Hane,Expanded
623,Muller-Schmidt,Managed
624,Murazik-Pagac,next generation
628,SchaefeHowe and Franecki,capacity
632,Nicolas Group,Generation
636,Rippin Ritchie and Schiller,Ergonomic
638,Nitzsche LLC,object-oriented
640,Dendrohyrax brucel,Konklab
641,Dendrohyrax brucel,Mickey Szymoni
642,Nolan-Vandervort,systemworthy
645,O'Conner-Ritchie,Realigned
646,Canis mesomelas,Melody Hayer
661,Oberbrunner-Wilkinson,Object-based
664,Okuneva-Kovacek,analyzing
665,Padbe Lynch and Bogisich,maximized
667,Ondricka and Sons,instruction set
668,Ondricka and Sons,solutionbud
676,Pacocha Inc,Universal
684,Pfannerstill Group,cohesive
688,Pollich Inc,optimal
690,Pouros and Sons,Intuitive
691,Pouros-Cassin,Assimilated
703,Purdy and Sons,ReEngineered
707,Quigley LLC,Intuitive
713,Quitzon Group,infomediaries
714,Tursiops truncatus,Tasha Dagworthy
718,Rau-Carter,explicit
719,Rau-Yundt,Reduced
723,Reichert and Sons,Enterpriseglidewide
725,Reilly Group,wkjhryeq
729,Rempel Inc,emulation
730,Rempel-Wilderman,background
731,Renner and Sons,project
736,Meleagris gallopavo,Jarred Cobley
737,Rippin-Dooley,Openarchitected
741,Robel-Hand,Visionary
742,Roberts and Sons,humanrock
743,Roberts-Kessler,Seamless
746,Cebus apella,Carter Simak
747,Rogahn Inc,discrete
748,Rohan Inc,firmware
752,Roob-Larson,installation
754,Rosenbaum Inc,parallelism
755,Rosenbaum-Barrows,Proactive
759,Ruecker-Jerde,fulljazzrange
760,Runolfsson and Sons,discrete
761,Runolfsson Group,ecofunk
764,Francolinus swainsonii,Asoka
765,Francolinus swainsonii,Emelina Vlach
766,Runte-Grant,Multishte
769,Russel and Sons,complexity
770,Rutherford-Rath,oijoij
773,Sanford Inc,otepkwty
775,Satterfield Group,definition
777,CollinsQuitzon and Walter,attitudeoriented
778,Sawayn LLC,needs-based
779,Antidorcas marsupialis,Keylex
782,Meles meles,Gembucket
783,Schaefer and Sons,Synergistic
784,Schaefer Group,De-engineered
787,Meles meles,Moira Sleney
788,Langosh Reichel and Reichel,disintermediate
791,Schimmel and Sons,infopopmediaries
792,Tachyglossus aculeatus,Roderich Filchakov
793,Schmeler LLC,superstructure
796,Schmitt Inc,Automated
797,Schoen-Effertz,Totalhi
800,Schroeder-Emmerich,flexibility
801,Nad Kemmer and Hartmann,multipop
802,Schulist-Kohler,intangible
805,Schumm-Berge,architecture
806,Schumm-Crona,Phased
809,Uraeginthus bengalus,Cardguard
810,Schuster and Sons,instruction set
811,Schuster and Sons,logistical
814,Uraeginthus bengalus,Etta Judson
815,Shields LLC,Organized
818,Canis lupus baileyi,Zontrax
819,Skiles-Haag,cohesive
820,Skiles-Hessel,capacity
823,Smitham Inc,Reduced
824,Spencer LLC,Public-key
827,Lutra canadensis,Sonsing
828,Spinka Inc,framework
829,Lutra canadensis,Jacquelynn Rappa
832,Stamm and Sons,motivating
833,Stamm and Sons,Visionoriented
836,Crotalus triseriatus,Zathin
837,Stanton-Lindgren,Devolved
838,Crotalus triseriatus,Kerk Burgum
841,Steuber and Sons,hierarchy
842,Steuber Inc,productivity
845,Stiedemann LLC,success
846,Stiedemann-Borer,parallelism
847,Stiedemann-Moore,Streamlined
850,Stokes-Farrell,web enabled
851,Stokes-Ratke,dynamic
852,Eudyptula minor,Linet Alps
854,Stoltenberg Inc,infrastructure
855,Stoltenberg LLC,model
856,Ara ararauna,Craggie Gilston
860,Streich-Marvin,functionalities
864,Swaniawski Inc,Frontline
868,Thompson LLC,strategy
870,Tillman and Sons,Progressive
872,Tillman LLC,Crosssmooth
873,Tillman LLC,interactive
874,Tillman LLC,local area network
877,Dasyprocta leporina,Carena Langan
878,Torp-Mayert,Intuitive
893,Tromp Inc,Multilayered
896,WebeDaugherty and Cassin,Expanded
897,Anas bahamensis,Bamity
899,Turner and Sons,contextuallyfun
900,Ullrich-Towne,responsive
908,Veum-O'Kon,policy
916,Waelchi-Reichel,customer loyalty
920,Walker-Stark,Innovative
922,Walsh LLC,policy
923,Walsh LLC,workforce
935,Watsica-Farrell,utilisation
939,Weber-Thiel,evenjazzkeeled
945,Welch Inc,focus group
946,Welch LLC,hub
950,West-Armstrong,incremental
951,Marmota monax,Petronille Doak
955,Wiegand LLC,Synchronised
957,Wilderman-Quitzon,humanjazz
961,Corvus albicollis,Winona Handling
962,Williamson LLC,clientmusic
963,Sitta canadensis,Vagram
968,Wintheiser and Sons,application
969,Wisozk Group,secondary
973,Wolf and Sons,Adaptive
974,Prionace glauca,Fixflex
975,Prionace glauca,Christopher Lestor
978,Philetairus socius,Sargent Clausewitz
979,Ploceus intermedius,Prodder
980,Wuckert and Sons,infrastructure
984,Wyman Inc,collaboration
986,Ploceus intermedius,Jobey Schenkel
987,Yost LLC,function
991,Hymenolaimus malacorhynchus,Stu Perez
992,Uraeginthus angolensis,Keylex
993,Uraeginthus angolensis,Fianna Gyrgorwicx
996,Zemlak-Friesen,Compatible
997,Chordeiles minor,Sonair
998,Chordeiles minor,Julio Buyers
1001,B,A
1002,Mazama gouazoubira,Stim
1005,Columba livia,Trev Napthine
1007,Streptopelia decipiens,Lotlux
1009,Zalophus californicus,Y-Solowarm
1010,Zalophus californicus,Sibbie Jobbings
1011,CormierWalter and Cummings,process improvement
1014,Canis aureus,It
1015,Canis aureus,Valentin Slinn
1016,Paraxerus cepapi,Daltfresh
1019,Equus hemionus,Sela Liveley
1020,Tayassu pecari,Asoka
1023,Ramphastos tucanus,Mitch Rosina
1024,Braun Batz and Lindgren,Intuitive
1025,Dolichitus patagonum,Solarbreeze
1028,Phascogale calura,Evangeline Connar
1029,Martes pennanti,Wrapsafe
1032,Grus canadensis,Billy Siemons
1033,Streptopelia senegalensis,Sub-Ex
1034,Streptopelia senegalensis,Curran Morden
1037,Gorilla gorilla,Lorens MacCarrane
1038,Acrobates pygmaeus,Gembucket
1041,Larus dominicanus,Home Ing
1042,Larus dominicanus,Brandi Raeburn
1043,Centrocercus urophasianus,Treeflex
1046,Ursus americanus,Norby Kennifick
1047,Macaca mulatta,Vagram
1050,Spizaetus coronatus,Bevan Kurton
1051,Gymnorhina tibicen,Y-Solowarm
1052,Gymnorhina tibicen,Smith Cuddihy
1055,CasperRomaguera and Boehm,systemic
1056,Bos mutus,Konklab
1059,Naja haje,Mat Lam Tam
1060,Naja haje,Isaiah Annwyl
1061,Macaca nemestrina,Holdlamis
1064,Connochaetus taurinus,Wini Levecque
1065,Mungos mungo,Prodder
1068,Pteronura brasiliensis,Daltfresh
1069,Pteronura brasiliensis,Filberto Terney
1070,Erethizon dorsatum,Wrapsafe
1073,Francolinus leucoscepus,Tin
1074,Francolinus leucoscepus,Shaw Ovitts
1077,Coluber constrictor,Tresom
1078,Coluber constrictor,Alanah Fulop
1079,Graspus graspus,Wrapsafe
1082,Rhea americana,Solarbreeze
1083,Rhea americana,Flore Deverall
1084,Ara chloroptera,Hatity
1086,Cervus duvauceli,Otcom
1087,Cervus duvauceli,Kerwin Kyles
1088,Corvus albicollis,Zoolab
1092,Rana sp.,Tallie Charnick
1096,Cercopithecus aethiops,Marguerite Dehm
1100,Terathopius ecaudatus,Fixflex
1102,Jas Prosacco and Bode,projection
1104,Varanus komodensis,Crystal Cridlan
1105,Donnelly Boehm and Yundt,maximized
1106,Oreamnos americanus,Lotstring
1109,Estrilda erythronotos,Vikky Benoix
1110,Hippotragus equinus,Tampflex
1125,Tauraco porphyrelophus,Marys Behneke
1128,Canis aureus,Daltfresh
1129,Canis aureus,Jeno Rominov
1131,Alectura lathami,Ardine Pickerill
1132,Macaca fuscata,Matsoft
1140,Maggio McLaughlin and Rutherford,Persistent
1148,Ovis ammon,Tempsoft
1152,Zalophus californicus,Treeflex
1154,RutherfKunze and Mayert,clearcut
1155,Tachybaptus ruficollis,Bytecard
1167,Cervus elaphus,Shelbi Gregersen
1171,Ovis ammon,Loralyn Sigg
1177,Bahringer Labadie and Lindgren,Digitized
1178,Castor canadensis,Konklab
1182,WillAdams and Hills,circuit
1183,Eudyptula minor,Vagram
1187,Trachyphonus vaillantii,Kurtis Ragg
1189,Nectarinia chalybea,Olly Birk
1193,Dasypus novemcinctus,Codie Brotherhed
1194,Bubalornis niger,Keylex
1195,Bubalornis niger,Jemmy Abele
1200,Donnelly Lang and Torp,realreligion
1201,Eolophus roseicapillus,Bytecard
1205,Deckow Koss and Beatty,Organic
1206,Cervus duvauceli,Domainer
1207,Cervus duvauceli,Nadine Burgott
1210,Anitibyx armatus,Konklux
1211,Anitibyx armatus,Rowland Olexa
1212,Genetta genetta,Stronghold
1216,Cronin O'Reilly and Cartwright,Multihip
1218,Oryx gazella callotis,Jacklyn Lovelock
1219,Douglas Kulas and Hegmann,discrete
1223,Centrocercus urophasianus,Ezra Brearton
1224,NicolasKuvalis and Strosin,Adaptive
1225,Suricata suricatta,Regrant
1228,Spheniscus magellanicus,Janela Knapper
1229,Iguana iguana,Voyatouch
1230,Iguana iguana,Sharyl Breukelman
1233,Nucifraga columbiana,Alpha
1234,Nucifraga columbiana,Dorita Stolberg
1237,Spilogale gracilis,Juliane MacFall
1239,Manouria emys,Benoite Sellar
1241,Phalacrocorax albiventer,Daron Danilchev
1242,Felis yagouaroundi,Sonair
1243,Felis yagouaroundi,Enrico Ubsdall
1246,Ramphastos tucanus,Daron Sains
1247,Conroyrooks and Howell,project
1248,Macropus fuliginosus,Duobam
1251,Phasianus colchicus,Opela
1252,Phasianus colchicus,Lacee Matanin
1255,Hippotragus equinus,Natala Locksley
1256,Threskionis aethiopicus,Greenlam
1257,Threskionis aethiopicus,Deane Carlyle
1260,Koch Reichert and Labadie,Monitored
1261,Falco mexicanus,Konklab
1264,Anastomus oscitans,Transcof
1265,Anastomus oscitans,Ody Geoghegan
1266,Cereopsis novaehollandiae,Ventosanzap
1269,Trichoglossus chlorolepidotus,Chery McCarney
1270,Bode Emmerich and Hickle,dynamic
1273,Hystrix cristata,Stronghold
1274,Hystrix cristata,Sarene Havelin
1275,Seiurus aurocapillus,Zontrax
1278,Mycteria leucocephala,Shawn Heggie
1279,Kovac Waters and Russel,Innovative
1282,Macropus eugenii,Tresom
1283,Macropus eugenii,Leontyne Wimmer
1284,Corallus hortulanus cooki,Otcom
1287,Butorides striatus,Geno Stead
1288,Ciconia ciconia,Domainer
1291,Phascogale tapoatafa,Keylex
1292,Phascogale tapoatafa,Welby Christofides
1293,Priodontes maximus,Temp
1296,Canis mesomelas,Vasilis Hamblyn
1297,Physignathus cocincinus,Mat Lam Tam
1300,Carphophis sp.,Kyle Hebard
1301,Libellula quadrimaculata,Biodex
1302,Libellula quadrimaculata,Milli Caldroni
1305,Cormier Becker and Macejkovic,encompassing
1306,Dusicyon thous,Duobam
1309,Spheniscus magellanicus,Taylor Worsham
1310,Hal Waelchi and Rodriguez,grindenabled
1311,Theropithecus gelada,Zaam-Dox
1314,Columba livia,Holdlamis
1315,Columba livia,Charlene Georgius
1316,Lycosa godeffroyi,Fixflex
1318,SpencerHartmann and McGlynn,Focused
1319,Amblyrhynchus cristatus,Cardify
1320,Amblyrhynchus cristatus,Shelby Braybrookes
1324,Cynictis penicillata,Serge Castanares
1328,Lamprotornis nitens,Tresom
1332,Varanus salvator,Shelby Rope
1334,Gymnorhina tibicen,Murial Deroche
1336,Bradypus tridactylus,Rhonda Tryhorn
1337,QuigleMoore and Haley,actuating
1338,Ceratotherium simum,Sonair
1341,Eira barbata,Rivy Elmer
1342,Lybius torquatus,Voyatouch
1357,Felis concolor,Bertie Gelletly
1360,Cordylus giganteus,Angeli Gatch
1361,TurcottGreen and Daniel,Visionary
1363,Heloderma horridum,Trace Harvard
1364,UllrichDare and Mayert,attitude
1372,Diceros bicornis,Maxy Duffill
1380,Sula nebouxii,Daltfresh
1384,Carduelis uropygialis,Tin
1386,Hegman Bednar and Mills,open architecture
1387,Dromaeus novaehollandiae,Wrapsafe
1399,Yosttting and Boehm,Centralized
1403,Gekko gecko,Louis Woolger
1409,Felis serval,Bitchip
1410,Felis serval,Adolpho Dowsing
1414,Carduelis pinus,Fix San
1415,Carduelis pinus,Parsifal Cheak
1419,Manouria emys,Sher Slamaker
1421,Bubalus arnee,Kerrin Grinyov
1425,Nycticorax nycticorax,Overhold
1426,Nycticorax nycticorax,Tasha Hovenden
1427,Butorides striatus,Keylex
1432,Anas bahamensis,Gertrude Marusyak
1433,Choriotis kori,Cookley
1437,Trichoglossus chlorolepidotus,Tampflex
1438,Trichoglossus chlorolepidotus,Nanon Klos
1439,Cynomys ludovicianus,Sub-Ex
1442,Megaderma spasma,Elsie Rickcord
1443,Terathopius ecaudatus,Cookley
1444,Terathopius ecaudatus,Sarina Luttger
1448,Crotalus triseriatus,Redhold
1450,Hean Ratke and Spinka,Object-based
1451,Uraeginthus bengalus,Overhold
1455,Naja nivea,Gilemette Boog
1456,FeilQuigley and Boehm,optimal
1457,Cochlearius cochlearius,Quo Lux
1460,Gyps bengalensis,Wilma Pollicote
1461,Macropus fuliginosus,Gembucket
1462,Macropus fuliginosus,Peirce Blabber
1465,Ephipplorhynchus senegalensis,Edyth Stitch
1466,Abbott Cruickshank and Bruen,portal
1469,Macropus agilis,Aerified
1471,Cereopsis novaehollandiae,Matsoft
1473,Han Abernathy and Kertzmann,process improvement
1474,Tamiasciurus hudsonicus,Zoolab
1475,Tamiasciurus hudsonicus,Padraig Killbey
1478,Chlidonias leucopterus,Tin
1479,Chlidonias leucopterus,Seka Trow
1480,Ara ararauna,Zaam-Dox
1483,Caiman crocodilus,Rad Gartside
1484,Crotalus cerastes,Otcom
1487,Vombatus ursinus,Lezley Warlton
1488,Macropus robustus,Sub-Ex
1489,Macropus robustus,Rowney Vasyunkin
1492,Carter Pfeffer and Haley,Organized
1493,Mellivora capensis,Fix San
1496,Macropus eugenii,Stim
1497,Macropus eugenii,Lorraine Botton
1498,Zalophus californicus,Kanlam
1501,Centrocercus urophasianus,Stephen Savory
1502,Macropus rufus,Zoolab
1505,Cereopsis novaehollandiae,Solarbreeze
1506,Cereopsis novaehollandiae,Averil Flemmich
1507,WatersKoelpin and Funk,capacity
1510,Abbott Schmitt and Rau,Profound
1511,Microcebus murinus,Prodder
1514,Libellula quadrimaculata,Gregorio Semiras
1515,Colobus guerza,Trippledex
1516,Colobus guerza,Nye Blackmoor
1519,Anthropoides paradisea,Aleta Lghan
1520,Lama pacos,Zontrax
1523,Panthera onca,Tillie Wolstencroft
1524,Aonyx cinerea,Lotlux
1525,Aonyx cinerea,Ange Sword
1528,Psophia viridis,Cookley
1529,Psophia viridis,Aida MacHostie
1532,Junonia genoveua,Murvyn Matveiko
1533,WolffMitchell and Rutherford,userbackwards
1534,Tadorna tadorna,Flowdesk
1537,Spermophilus lateralis,Clint Summersby
1538,Harris Fisher and Hoppe,Centralized
1541,Laniaurius atrococcineus,Treeflex
1542,Laniaurius atrococcineus,Dasi Wakely
1543,Weima Stanton and Christiansen,background
1546,Rayn Willms and Glover,Reversehip
1547,Lycosa godeffroyi,Zoolab
1548,Lycosa godeffroyi,Lesya Thurstance
1550,Picoides pubescens,Devin Matuszak
1551,Tauraco porphyrelophus,Cookley
1552,Tauraco porphyrelophus,Marabel Cockshtt
1556,Tachybaptus ruficollis,Pannier
1560,Irania gutteralis,It
1564,Zalophus californicus,Holdlamis
1566,Crotalus triseriatus,Asoka
1568,Kozey Breitenberg and Hackett,knowledge user
1569,Corvus albicollis,Zaam-Dox
1570,Corvus albicollis,Everard Muehler
1573,Wilkinso Von and Lang,solution
1574,Tamiasciurus hudsonicus,Asoka
1589,Amphibolurus barbatus,Bertrando Savill
1592,Denesik Connelly and Lind,protocol
1593,Odocoileus hemionus,Matsoft
1595,Phascogale calura,Voltsillam
1596,Phascogale calura,Tyne Gonzalvo
1604,Kuhi Casper and Treutel,Businessyip
1612,Columba livia,Grantham Paolini
1616,Klei Jacbs and Hessel,archive
1618,Cygnus atratus,Elenore Fust
1619,Lasiodora parahybana,Sonair
1631,Pseudocheirus peregrinus,Zoolab
1635,Gymnorhina tibicen,Gaspar Teanby
1641,Myrmecobius fasciatus,Bitchip
1642,Myrmecobius fasciatus,Sibelle Harmar
1646,Spheniscus magellanicus,Ronstring
1647,Spheniscus magellanicus,Irene Dedon
1651,Drymarchon corias couperi,Bamity
1653,Herpestes javanicus,Rank
1657,Phalacrocorax niger,Fix San
1658,Phalacrocorax niger,Abigail Khotler
1659,Cacatua tenuirostris,Keylex
1664,Isoodon obesulus,Mat Lam Tam
1665,Isoodon obesulus,Henriette Flaune
1669,Schroede McGlynn and Cassin,bifurcated
1670,Myrmecophaga tridactyla,Namfix
1671,Myrmecophaga tridactyla,Erwin Ruggles
1674,Gazella thompsonii,Agata Stanbrooke
1675,Erdman Grant and Marvin,extranet
1676,Callorhinus ursinus,Flexidy
1680,Stercorarius longicausus,Konklux
1682,Varanus salvator,Tres-Zap
1683,Varanus salvator,Johnathon Mapson
1687,Anas bahamensis,Gunar Searby
1688,Galago crassicaudataus,Stronghold
1689,Galago crassicaudataus,Felicio Veevers
1692,Laniarius ferrugineus,Stim
1693,Laniarius ferrugineus,Care Creavan
1694,Otaria flavescens,Ronstring
1697,Bucephala clangula,Cookley
1698,Bucephala clangula,Marilee Girardini
1701,Ciconia ciconia,Natalie Gwynn
1703,Phoca vitulina,Sonsing
1705,Panthera leo,Bigtax
1706,Panthera leo,Don Tallis
1707,Cochlearius cochlearius,Fintone
1710,Odocoileus hemionus,Corabella Popov
1711,Volkman OReilly and Purdy,zero defect
1712,Crocuta crocuta,Flexidy
1715,Connochaetus taurinus,Bitchip
1716,Connochaetus taurinus,Pierette Ganforthe
1719,Ramphastos tucanus,Home Ing
1720,Ramphastos tucanus,Mathilde Eggerton
1721,Tamiasciurus hudsonicus,Bitwolf
1724,Hymenolaimus malacorhynchus,Quo Lux
1725,Hymenolaimus malacorhynchus,Abel Boughtflower
1728,Cathartes aura,Greenlam
1729,Cathartes aura,Gayler Mew
1730,Genetta genetta,Temp
1733,Corvus brachyrhynchos,Margaretta Chugg
1734,Agelaius phoeniceus,Transcof
1737,Buteo regalis,Zaam-Dox
1738,Buteo regalis,Tamiko Rogier
1739,Cebus apella,Zaam-Dox
1742,Ciconia ciconia,Ezri Augar
1743,Grus antigone,Kanlam
1746,Axis axis,Mikel Tidgewell
